commonid,BlockStartingHour,BankerGroup,state
2018533,11,Refinance,OH
2018533,11,Refinance,OK
2018533,11,Refinance,PA
2018533,11,Refinance,SC
2018533,11,Refinance,SD
2018533,11,Refinance,TN
2018533,11,Refinance,VA
2018533,11,Refinance,WA
2018580,11,Purchase,AK
2018580,11,Purchase,AZ
2018580,11,Purchase,CA
2018580,11,Purchase,FL
2018580,11,Purchase,GA
2018580,11,Purchase,IL
2018580,11,Purchase,LA
2018580,11,Purchase,ME
2018580,11,Purchase,MI
2018580,11,Purchase,MT
2018580,11,Purchase,NE
2018580,11,Purchase,NJ
2018580,11,Purchase,SC
2018580,11,Purchase,TN
2018580,11,Purchase,TX
2018580,11,Purchase,VA
2018622,11,Purchase,AL
2018622,11,Purchase,AK
2018622,11,Purchase,AZ
2018622,11,Purchase,CA
2018622,11,Purchase,CO
2018622,11,Purchase,IL
2018622,11,Purchase,IN
2018622,11,Purchase,IA
2018622,11,Purchase,MI
2018622,11,Purchase,MT
2018622,11,Purchase,NJ
2018622,11,Purchase,OH
2018622,11,Purchase,TX
2018622,11,Purchase,VA
2018622,11,Purchase,WI
2018630,11,Purchase,AL
2018630,11,Purchase,CA
2018630,11,Purchase,DC
2018630,11,Purchase,FL
2018630,11,Purchase,IL
2018630,11,Purchase,LA
2018630,11,Purchase,MI
2018630,11,Purchase,MN
2018630,11,Purchase,MS
2018630,11,Purchase,MO
2018630,11,Purchase,ND
2018630,11,Purchase,OH
2018630,11,Purchase,PA
2018630,11,Purchase,SC
2018630,11,Purchase,TX
2018630,11,Purchase,VA
2018630,11,Purchase,WI
2018673,11,Refinance,AL
2018673,11,Refinance,CA
2018673,11,Refinance,CO
2018673,11,Refinance,DC
2018673,11,Refinance,IL
2018673,11,Refinance,ME
2018673,11,Refinance,MD
2018673,11,Refinance,MI
2018673,11,Refinance,MO
2018673,11,Refinance,NJ
2018673,11,Refinance,OH
2018673,11,Refinance,SC
2018673,11,Refinance,TX
2018673,11,Refinance,VA
2018673,11,Refinance,WI
2018691,11,Refinance,AZ
2018691,11,Refinance,CA
2018691,11,Refinance,CO
2018691,11,Refinance,ID
2018691,11,Refinance,KS
2018691,11,Refinance,LA
2018691,11,Refinance,MO
2018691,11,Refinance,NC
2018691,11,Refinance,OH
2018691,11,Refinance,PA
2018691,11,Refinance,SC
2018691,11,Refinance,TX
2018691,11,Refinance,VA
2018691,11,Refinance,WA
2018691,11,Refinance,WV
2018698,11,Purchase,AL
2018698,11,Purchase,CA
2018698,11,Purchase,GA
2018698,11,Purchase,IL
2018698,11,Purchase,IN
2018698,11,Purchase,LA
2018698,11,Purchase,MD
2018698,11,Purchase,MI
2018698,11,Purchase,MS
2018698,11,Purchase,NC
2018698,11,Purchase,OH
2018698,11,Purchase,OK
2018698,11,Purchase,PA
2018698,11,Purchase,TX
2018709,11,Purchase,AL
2018709,11,Purchase,CA
2018709,11,Purchase,CO
2018709,11,Purchase,DC
2018709,11,Purchase,FL
2018709,11,Purchase,ID
2018709,11,Purchase,IL
2018709,11,Purchase,MA
2018709,11,Purchase,MI
2018709,11,Purchase,MN
2018709,11,Purchase,MS
2018709,11,Purchase,NV
2018709,11,Purchase,NM
2018709,11,Purchase,OK
2018709,11,Purchase,OR
2018709,11,Purchase,TX
2018709,11,Purchase,VA
2018736,11,Purchase,AL
2018736,11,Purchase,CA
2018736,11,Purchase,CO
2018736,11,Purchase,DC
2018736,11,Purchase,FL
2018736,11,Purchase,IL
2018736,11,Purchase,LA
